pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,boat,home.dest,body_found,embarked_C,embarked_Q,embarked_S
2,0,"Moraweck, Dr. Ernest",0,54.0,0,0,29011,14.0,,,"Frankfort, KY",False,0,0,1
1,0,"Smith, Mr. Lucien Philip",0,24.0,1,0,13695,60.0,C31,,"Huntington, WV",False,0,0,1
1,1,"Willard, Miss. Constance",1,21.0,0,0,113795,26.55,,8 10,"Duluth, MN",False,0,0,1
3,0,"Carlsson, Mr. August Sigfrid",0,28.0,0,0,350042,7.7958,,,"Dagsas, Sweden Fower, MN",False,0,0,1
3,0,"Abbott, Mr. Rossmore Edward",0,16.0,1,1,C.A. 2673,20.25,,,"East Providence, RI",True,0,0,1
1,1,"Spedden, Mr. Frederic Oakley",0,45.0,1,1,16966,134.5,E34,3,"Tuxedo Park, NY",False,1,0,0
2,0,"Fahlstrom, Mr. Arne Jonas",0,18.0,0,0,236171,13.0,,,"Oslo, Norway Bayonne, NJ",False,0,0,1
1,0,"White, Mr. Percival Wayland",0,54.0,0,1,35281,77.2875,D26,,"Brunswick, ME",False,0,0,1
1,1,"Silverthorne, Mr. Spencer Victor",0,35.0,0,0,PC 17475,26.2875,E24,5,"St Louis, MO",False,0,0,1
1,0,"Stead, Mr. William Thomas",0,62.0,0,0,113514,26.55,C87,,"Wimbledon Park, London / Hayling Island, Hants",False,0,0,1
1,1,"Daly, Mr. Peter Denis ",0,51.0,0,0,113055,26.55,E17,5 9,"Lima, Peru",False,0,0,1
3,0,"Lobb, Mr. William Arthur",0,30.0,1,0,A/5. 3336,16.1,,,,False,0,0,1
2,0,"Giles, Mr. Ralph",0,24.0,0,0,248726,13.5,,,"West Kensington, London",True,0,0,1
1,0,"Widener, Mr. George Dunton",0,50.0,1,1,113503,211.5,C80,,"Elkins Park, PA",False,1,0,0
1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",1,43.0,1,0,11778,55.4417,C116,5,"Newark, NJ",False,1,0,0
1,0,"Brandeis, Mr. Emil",0,48.0,0,0,PC 17591,50.4958,B10,,"Omaha, NE",True,1,0,0
3,0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",1,29.0,0,4,349909,21.075,,,,True,0,0,1
2,1,"Mallet, Master. Andre",0,1.0,0,2,S.C./PARIS 2079,37.0042,,10,"Paris / Montreal, PQ",False,1,0,0
3,1,"Baclini, Mrs. Solomon (Latifa Qurban)",1,24.0,0,3,2666,19.2583,,C,"Syria New York, NY",False,1,0,0
1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",1,55.0,2,0,11770,25.7,C101,2,"New York, NY",False,0,0,1
3,0,"Vande Walle, Mr. Nestor Cyriel",0,28.0,0,0,345770,9.5,,,,False,0,0,1
2,0,"Gillespie, Mr. William Henry",0,34.0,0,0,12233,13.0,,,"Vancouver, BC",False,0,0,1
3,0,"Foley, Mr. Joseph",0,26.0,0,0,330910,7.8792,,,"Ireland Chicago, IL",False,0,1,0
1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",1,23.0,1,0,21228,82.2667,B45,7,"Minneapolis, MN",False,0,0,1
3,0,"McNamee, Mr. Neal",0,24.0,1,0,376566,16.1,,,,False,0,0,1
2,0,"Andrew, Mr. Frank Thomas",0,25.0,0,0,C.A. 34050,10.5,,,"Cornwall, England Houghton, MI",False,0,0,1
3,0,"Panula, Master. Eino Viljami",0,1.0,4,1,3101295,39.6875,,,,False,0,0,1
3,0,"Everett, Mr. Thomas James",0,40.5,0,0,C.A. 6212,15.1,,,,True,0,0,1
3,0,"Goodwin, Master. Harold Victor",0,9.0,5,2,CA 2144,46.9,,,"Wiltshire, England Niagara Falls, NY",False,0,0,1
1,1,"Barkworth, Mr. Algernon Henry Wilson",0,80.0,0,0,27042,30.0,A23,B,"Hessle, Yorks",False,0,0,1
3,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,24.0,1,0,STON/O2. 3101279,15.85,,15,,False,0,0,1
